root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1,5-num Summary,280.0,16.84642857142857,,,280.0,,,,
1,"(2.0, 3.95]",11.0,16.84642857142857,1.9496363636363638,21.446,11.0,21.446,4.397817291464593,4.397817291464593,0.0
1,"(3.95, 5.9]",14.0,16.84642857142857,1.0313571428571429,14.439,14.0,35.885000000000005,2.9609290250609552,7.35874631652555,3.0
1,"(5.9, 7.85]",17.0,16.84642857142857,2.030235294117647,34.513999999999996,17.0,70.399,7.077602629749554,14.436348946275102,1.0
1,"(7.85, 9.8]",20.0,16.84642857142857,0.8638,17.276,20.0,87.675,3.542697543940236,17.979046490215335,2.0
1,"(9.8, 11.75]",20.0,16.84642857142857,1.9679000000000002,39.358000000000004,20.0,127.033,8.070935976753868,26.049982466969208,6.0
1,"(11.75, 13.7]",18.0,16.84642857142857,1.9382222222222225,34.888000000000005,18.0,161.921,7.154296822932794,33.204279289902,4.0
1,"(13.7, 15.65]",21.0,16.84642857142857,1.5520952380952382,32.594,21.0,194.515,6.683878429450569,39.88815771935257,3.0
1,"(15.65, 17.6]",19.0,16.84642857142857,2.176,41.344,19.0,235.85899999999998,8.47819444643813,48.366352165790694,2.0
1,"(17.6, 19.55]",27.0,16.84642857142857,1.9209999999999998,51.867,27.0,287.726,10.63609015463928,59.002442320429985,2.0
1,"(19.55, 21.5]",28.0,16.84642857142857,1.7801785714285714,49.845,28.0,337.571,10.221449356199413,69.2238916766294,1.0
1,"(21.5, 23.45]",24.0,16.84642857142857,1.6929166666666668,40.63,24.0,378.201,8.331778259451944,77.55566993608134,1.0
1,"(23.45, 25.4]",10.0,16.84642857142857,3.3216,33.216,10.0,411.41700000000003,6.8114286651724285,84.36709860125376,1.0
1,"(25.4, 27.35]",13.0,16.84642857142857,1.8835384615384616,24.486,13.0,435.903,5.021213941937985,89.38831254319174,1.0
1,"(27.35, 29.3]",9.0,16.84642857142857,1.8194444444444444,16.375,9.0,452.278,3.3579342603624314,92.74624680355419,0.0
1,"(29.3, 31.25]",3.0,16.84642857142857,1.3340000000000003,4.002000000000001,3.0,456.28000000000003,0.8206688799981956,93.56691568355238,0.0
1,"(31.25, 33.2]",4.0,16.84642857142857,3.0847499999999997,12.338999999999999,4.0,468.619,2.530293180983941,96.09720886453633,1.0
1,"(33.2, 35.15]",2.0,16.84642857142857,1.363,2.726,2.0,471.345,0.5590063385494953,96.65621520308582,1.0
1,"(35.15, 37.1]",7.0,16.84642857142857,1.2852857142857144,8.997,7.0,480.34200000000004,1.8449669948385217,98.50118219792434,0.0
1,"(37.1, 39.05]",6.0,16.84642857142857,0.7341666666666667,4.405,6.0,484.747,0.9033099491234511,99.40449214704779,0.0
1,"(39.05, 41.0]",1.0,16.84642857142857,2.904,2.904,1.0,487.651,0.5955078529522138,100.0,0.0
1,2.0-41.0,280.0,16.84642857142857,1.7416107142857142,487.651,280.0,487.651,100.0,100.0,29.0
61,5-num Summary,280.0,20.167857142857144,,,280.0,,,,
61,"(2.0, 3.95]",2.0,20.167857142857144,0.5305,1.061,2.0,1.061,0.22471719732542056,0.22471719732542056,0.0
61,"(3.95, 5.9]",2.0,20.167857142857144,1.3215,2.643,2.0,3.7039999999999997,0.5597809166174237,0.7844981139428442,1.0
61,"(5.9, 7.85]",8.0,20.167857142857144,1.653,13.224,8.0,16.928,2.8008107610097657,3.58530887495261,1.0
61,"(7.85, 9.8]",25.0,20.167857142857144,1.4313200000000001,35.783,25.0,52.711,7.578751622898702,11.164060497851311,0.0
