budget,capacity,terminal,root,node,bc_tr_asp,num_interm_nodes,family_size,category,value
125,min,1687,1649,1655,0.0006158314305098937,3,1,only_child,9931304.7286444
125,min,1687,1649,1657,0.00023428228467482813,3,1,only_child,9931304.7286444
125,min,1687,1649,1658,0.00042889886926581654,3,1,only_child,9931304.7286444
125,min,1688,1649,1663,0.0008742700849832924,4,1,only_child,9779993.43531802
125,min,1688,1649,1655,0.0006158314305098937,4,1,only_child,9779993.43531802
125,min,1688,1649,1657,0.00023428228467482813,4,1,only_child,9779993.43531802
125,min,1688,1649,1658,0.00042889886926581654,4,1,only_child,9779993.43531802
125,min,1772,1750,1755,2.1741316579945243e-05,3,2,dominant,9706627.168543395
125,min,1772,1750,1756,2.798949853556295e-05,3,2,dominant,9706627.168543395
125,min,1772,1750,1762,4.616500859277514e-05,3,2,dominant,9706627.168543395
125,min,1813,1795,1792,0.0002578836519010966,2,2,dominant,3396872.947685486
125,min,1813,1795,1793,0.0006439455400981264,2,2,dominant,3396872.947685486
125,min,1815,1781,1793,0.0006439455400981264,2,2,dominant,3796623.223610626
125,min,1815,1781,1795,0.0004391761789767496,2,2,dominant,3796623.223610626
125,min,1820,1795,1796,0.00033031062494102325,1,2,dominant,4493057.50199252
125,min,1821,1781,1797,0.0005967111339890717,1,3,dominant,4283201.8396289
125,min,1830,1781,1797,0.0005967111339890717,1,3,protected,1387052.7246010876
125,min,1883,1853,1859,0.00013826129768760347,2,1,only_child,5477460.190776772
125,min,1883,1853,1855,0.0003174796320785033,2,1,only_child,5477460.190776772
125,min,1885,1853,1861,2.8461187866795536e-05,2,1,only_child,3459942.5262681595
125,min,1885,1853,1852,0.00045006974190752526,2,1,only_child,3459942.5262681595
125,min,1886,1857,1854,0.00035911930819218225,1,1,only_child,8629915.758251993
125,min,1887,1853,1864,0.00010983381060160308,4,2,dominant,3181053.503491521
125,min,1887,1853,1863,0.00011631289527062614,4,2,dominant,3181053.503491521
125,min,1887,1853,1859,0.00013826129768760347,4,2,dominant,3181053.503491521
125,min,1887,1853,1855,0.0003174796320785033,4,2,dominant,3181053.503491521
125,min,1889,1857,1868,0.0006399918944779837,1,1,only_child,3996569.8898939053
125,min,1891,1858,1874,0.0002684136945480265,2,2,protected,7505242.556738599
125,min,1891,1858,1875,0.0004422384031404744,2,2,protected,7505242.556738599
125,min,1892,1858,1874,0.0002684136945480265,2,2,dominant,7628098.057749215
125,min,1892,1858,1875,0.0004422384031404744,2,2,dominant,7628098.057749215
125,min,1893,1858,1875,0.0004422384031404744,1,1,only_child,3372413.0315185464
125,min,1894,1853,1877,0.00026843777131539383,1,1,only_child,6385502.17229874
125,min,1895,1853,1878,5.6735512857961805e-05,2,2,protected,3963257.7004387355
125,min,1895,1853,1877,0.00026843777131539383,2,2,protected,3963257.7004387355
125,min,1896,1853,1878,5.6735512857961805e-05,2,2,dominant,3984082.8119665813
125,min,1896,1853,1877,0.00026843777131539383,2,2,dominant,3984082.8119665813
125,min,1897,1853,1863,0.00011631289527062614,3,1,only_child,3831915.274574983
125,min,1897,1853,1859,0.00013826129768760347,3,1,only_child,3831915.274574983
125,min,1897,1853,1855,0.0003174796320785033,3,1,only_child,3831915.274574983
125,min,1904,1834,1837,0.0004300010001589727,2,1,only_child,7110097.5995076
125,min,1904,1834,1840,0.0005208981447886684,2,1,only_child,7110097.5995076
125,min,1906,1843,1845,8.632320592678426e-05,2,2,protected,3502243.248324103
125,min,1906,1843,1844,7.056899493245079e-05,2,2,protected,3502243.248324103
125,min,1907,1843,1845,8.632320592678426e-05,2,2,dominant,5682005.523913312
125,min,1907,1843,1844,7.056899493245079e-05,2,2,dominant,5682005.523913312
125,min,1909,1843,1849,9.608564311864518e-05,4,2,dominant,7328149.206943658
125,min,1909,1843,1850,4.6412730082356545e-05,4,2,dominant,7328149.206943658
125,min,1909,1843,1845,8.632320592678426e-05,4,2,dominant,7328149.206943658
125,min,1909,1843,1844,7.056899493245079e-05,4,2,dominant,7328149.206943658
125,min,1912,602,670,0.006043894931098145,2,1,only_child,8957855.505056681
125,min,1912,602,654,0.003365453215139171,2,1,only_child,8957855.505056681
150,min,131,1,21,0.006832417433505095,1,2,protected,1750118.7353424656
150,min,132,1,21,0.006832417433505095,1,2,dominant,6821802.882816058
150,min,136,1,22,0.0026167533486082116,1,2,dominant,6821802.882816058
150,min,144,1,24,0.0009101443806205299,4,1,only_child,8541812.466721177
150,min,144,1,48,0.004625416490922056,4,1,only_child,8541812.466721177
150,min,144,1,45,0.006036491220157679,4,1,only_child,8541812.466721177
150,min,144,1,21,0.006832417433505095,4,1,only_child,8541812.466721177
150,min,160,1,42,0.0031583585511919046,2,2,dominant,5162728.501841529
150,min,160,1,22,0.0026167533486082116,2,2,dominant,5162728.501841529
150,min,183,1,48,0.004625416490922056,3,2,dominant,5331335.241171337
150,min,183,1,45,0.006036491220157679,3,2,dominant,5331335.241171337
150,min,183,1,21,0.006832417433505095,3,2,dominant,5331335.241171337
150,min,443,1141,324,0.01285148544158195,2,1,only_child,4502325.636607452
150,min,443,1141,1148,0.006427823919903145,2,1,only_child,4502325.636607452
150,min,480,302,345,0.00769298343512892,2,1,only_child,9997367.675814806
150,min,480,302,304,0.018618634459969526,2,1,only_child,9997367.675814806
150,min,488,301,347,0.028667694920679245,1,2,dominant,8720063.978964943
150,min,840,601,624,0.0017429782398865965,4,2,dominant,6161306.158584186
150,min,840,601,638,0.006384698441742464,4,2,dominant,6161306.158584186
150,min,840,601,628,0.007640129187979631,4,2,dominant,6161306.158584186
150,min,840,601,633,0.018884346153560678,4,2,dominant,6161306.158584186
150,min,842,601,638,0.006384698441742464,3,1,only_child,9627188.06665995
150,min,842,601,628,0.007640129187979631,3,1,only_child,9627188.06665995
150,min,842,601,633,0.018884346153560678,3,1,only_child,9627188.06665995
150,min,852,601,628,0.007640129187979631,2,3,dominant,2176755.8177108536
150,min,852,601,633,0.018884346153560678,2,3,dominant,2176755.8177108536
150,min,901,601,715,0.0010688462703522749,5,2,protected,4428120.017628127
150,min,901,601,713,0.0007670606611315955,5,2,protected,4428120.017628127
150,min,901,601,701,0.0008042037634164488,5,2,protected,4428120.017628127
150,min,901,601,704,0.0014251864495772673,5,2,protected,4428120.017628127
150,min,901,601,712,0.003268264625630817,5,2,protected,4428120.017628127
150,min,902,601,715,0.0010688462703522749,5,2,dominant,8113892.541203884
150,min,902,601,713,0.0007670606611315955,5,2,dominant,8113892.541203884
150,min,902,601,701,0.0008042037634164488,5,2,dominant,8113892.541203884
150,min,902,601,704,0.0014251864495772673,5,2,dominant,8113892.541203884
150,min,902,601,712,0.003268264625630817,5,2,dominant,8113892.541203884
150,min,903,601,722,0.004120112705616514,3,1,only_child,4720751.239980388
150,min,903,601,726,0.002050243500214259,3,1,only_child,4720751.239980388
150,min,903,601,712,0.003268264625630817,3,1,only_child,4720751.239980388
150,min,905,608,718,0.00034163569794847383,1,1,only_child,6189299.534621126
150,min,907,601,720,0.001088936711536942,7,1,only_child,7405478.9721301
150,min,907,601,609,0.001054413362467129,7,1,only_child,7405478.9721301
150,min,907,601,723,0.005587315075307755,7,1,only_child,7405478.9721301
150,min,907,601,705,0.002219698071879329,7,1,only_child,7405478.9721301
150,min,907,601,722,0.004120112705616514,7,1,only_child,7405478.9721301
150,min,907,601,726,0.002050243500214259,7,1,only_child,7405478.9721301
150,min,907,601,712,0.003268264625630817,7,1,only_child,7405478.9721301
150,min,912,601,710,0.004170056298629489,6,2,dominant,7977881.458007641
150,min,912,601,723,0.005587315075307755,6,2,dominant,7977881.458007641
150,min,912,601,705,0.002219698071879329,6,2,dominant,7977881.458007641
150,min,912,601,722,0.004120112705616514,6,2,dominant,7977881.458007641
150,min,912,601,726,0.002050243500214259,6,2,dominant,7977881.458007641
150,min,912,601,712,0.003268264625630817,6,2,dominant,7977881.458007641
150,min,914,601,705,0.002219698071879329,4,1,only_child,3264217.8095894605
150,min,914,601,722,0.004120112705616514,4,1,only_child,3264217.8095894605
150,min,914,601,726,0.002050243500214259,4,1,only_child,3264217.8095894605
150,min,914,601,712,0.003268264625630817,4,1,only_child,3264217.8095894605
150,min,952,601,652,0.030712533223626683,3,1,only_child,6419223.441107456
150,min,952,601,375,0.019596391976719998,3,1,only_child,6419223.441107456
150,min,952,601,633,0.018884346153560678,3,1,only_child,6419223.441107456
150,min,1687,1649,1655,0.0006158314305098937,3,1,only_child,9931304.7286444
150,min,1687,1649,1657,0.00023428228467482813,3,1,only_child,9931304.7286444
150,min,1687,1649,1658,0.00042889886926581654,3,1,only_child,9931304.7286444
150,min,1688,1649,1663,0.0008742700849832924,4,1,only_child,9779993.43531802
150,min,1688,1649,1655,0.0006158314305098937,4,1,only_child,9779993.43531802
150,min,1688,1649,1657,0.00023428228467482813,4,1,only_child,9779993.43531802
150,min,1688,1649,1658,0.00042889886926581654,4,1,only_child,9779993.43531802
150,min,1772,1750,1755,2.1741316579945243e-05,3,2,dominant,9706627.168543395
150,min,1772,1750,1756,2.798949853556295e-05,3,2,dominant,9706627.168543395
150,min,1772,1750,1762,4.616500859277514e-05,3,2,dominant,9706627.168543395
150,min,1813,1795,1792,0.0002578836519010966,2,2,dominant,3396872.947685486
150,min,1813,1795,1793,0.0006439455400981264,2,2,dominant,3396872.947685486
150,min,1815,1781,1793,0.0006439455400981264,2,2,dominant,3796623.223610626
150,min,1815,1781,1795,0.0004391761789767496,2,2,dominant,3796623.223610626
150,min,1820,1795,1796,0.00033031062494102325,1,2,dominant,4493057.50199252
150,min,1821,1781,1797,0.0005967111339890717,1,3,dominant,4283201.8396289
150,min,1830,1781,1797,0.0005967111339890717,1,3,protected,1387052.7246010876
150,min,1883,1853,1859,0.00013826129768760347,2,1,only_child,5477460.190776772
150,min,1883,1853,1855,0.0003174796320785033,2,1,only_child,5477460.190776772
150,min,1885,1853,1861,2.8461187866795536e-05,2,1,only_child,3459942.5262681595
150,min,1885,1853,1852,0.00045006974190752526,2,1,only_child,3459942.5262681595
150,min,1886,1857,1854,0.00035911930819218225,1,1,only_child,8629915.758251993
150,min,1887,1853,1864,0.00010983381060160308,4,2,dominant,3181053.503491521
150,min,1887,1853,1863,0.00011631289527062614,4,2,dominant,3181053.503491521
150,min,1887,1853,1859,0.00013826129768760347,4,2,dominant,3181053.503491521
150,min,1887,1853,1855,0.0003174796320785033,4,2,dominant,3181053.503491521
150,min,1889,1857,1868,0.0006399918944779837,1,1,only_child,3996569.8898939053
150,min,1891,1858,1874,0.0002684136945480265,2,2,protected,7505242.556738599
150,min,1891,1858,1875,0.0004422384031404744,2,2,protected,7505242.556738599
150,min,1892,1858,1874,0.0002684136945480265,2,2,dominant,7628098.057749215
150,min,1892,1858,1875,0.0004422384031404744,2,2,dominant,7628098.057749215
150,min,1893,1858,1875,0.0004422384031404744,1,1,only_child,3372413.0315185464
150,min,1894,1853,1877,0.00026843777131539383,1,1,only_child,6385502.17229874
150,min,1895,1853,1878,5.6735512857961805e-05,2,2,protected,3963257.7004387355
150,min,1895,1853,1877,0.00026843777131539383,2,2,protected,3963257.7004387355
150,min,1896,1853,1878,5.6735512857961805e-05,2,2,dominant,3984082.8119665813
150,min,1896,1853,1877,0.00026843777131539383,2,2,dominant,3984082.8119665813
150,min,1897,1853,1863,0.00011631289527062614,3,1,only_child,3831915.274574983
150,min,1897,1853,1859,0.00013826129768760347,3,1,only_child,3831915.274574983
150,min,1897,1853,1855,0.0003174796320785033,3,1,only_child,3831915.274574983
150,min,1904,1834,1837,0.0004300010001589727,2,1,only_child,7110097.5995076
150,min,1904,1834,1840,0.0005208981447886684,2,1,only_child,7110097.5995076
150,min,1906,1843,1845,8.632320592678426e-05,2,2,protected,3502243.248324103
150,min,1906,1843,1844,7.056899493245079e-05,2,2,protected,3502243.248324103
150,min,1907,1843,1845,8.632320592678426e-05,2,2,dominant,5682005.523913312
150,min,1907,1843,1844,7.056899493245079e-05,2,2,dominant,5682005.523913312
150,min,1909,1843,1849,9.608564311864518e-05,4,2,dominant,7328149.206943658
150,min,1909,1843,1850,4.6412730082356545e-05,4,2,dominant,7328149.206943658
150,min,1909,1843,1845,8.632320592678426e-05,4,2,dominant,7328149.206943658
150,min,1909,1843,1844,7.056899493245079e-05,4,2,dominant,7328149.206943658
150,min,1912,602,670,0.006043894931098145,2,1,only_child,8957855.505056681
150,min,1912,602,654,0.003365453215139171,2,1,only_child,8957855.505056681
175,min,131,1,21,0.006832417433505095,1,2,protected,1750118.7353424656
175,min,132,1,21,0.006832417433505095,1,2,dominant,6821802.882816058
175,min,136,1,22,0.0026167533486082116,1,2,dominant,6821802.882816058
175,min,144,1,24,0.0009101443806205299,4,1,only_child,8541812.466721177
175,min,144,1,48,0.004625416490922056,4,1,only_child,8541812.466721177
175,min,144,1,45,0.006036491220157679,4,1,only_child,8541812.466721177
175,min,144,1,21,0.006832417433505095,4,1,only_child,8541812.466721177
175,min,160,1,42,0.0031583585511919046,2,2,dominant,5162728.501841529
175,min,160,1,22,0.0026167533486082116,2,2,dominant,5162728.501841529
175,min,183,1,48,0.004625416490922056,3,2,dominant,5331335.241171337
175,min,183,1,45,0.006036491220157679,3,2,dominant,5331335.241171337
175,min,183,1,21,0.006832417433505095,3,2,dominant,5331335.241171337
175,min,443,1141,324,0.01285148544158195,2,1,only_child,4502325.636607452
175,min,443,1141,1148,0.006427823919903145,2,1,only_child,4502325.636607452
175,min,480,302,345,0.00769298343512892,2,1,only_child,9997367.675814806
175,min,480,302,304,0.018618634459969526,2,1,only_child,9997367.675814806
175,min,488,301,347,0.028667694920679245,1,2,dominant,8720063.978964943
175,min,840,601,624,0.0017429782398865965,4,2,dominant,6161306.158584186
175,min,840,601,638,0.006384698441742464,4,2,dominant,6161306.158584186
175,min,840,601,628,0.007640129187979631,4,2,dominant,6161306.158584186
175,min,840,601,633,0.018884346153560678,4,2,dominant,6161306.158584186
175,min,842,601,638,0.006384698441742464,3,1,only_child,9627188.06665995
175,min,842,601,628,0.007640129187979631,3,1,only_child,9627188.06665995
175,min,842,601,633,0.018884346153560678,3,1,only_child,9627188.06665995
175,min,852,601,628,0.007640129187979631,2,3,dominant,2176755.8177108536
175,min,852,601,633,0.018884346153560678,2,3,dominant,2176755.8177108536
175,min,901,601,715,0.0010688462703522749,7,2,protected,4428120.017628127
175,min,901,601,717,0.0007599742085838884,7,2,protected,4428120.017628127
175,min,901,601,706,0.0008813859740299066,7,2,protected,4428120.017628127
175,min,901,601,707,0.0013510655748785552,7,2,protected,4428120.017628127
175,min,901,601,722,0.004120112705616514,7,2,protected,4428120.017628127
175,min,901,601,726,0.002050243500214259,7,2,protected,4428120.017628127
175,min,901,601,712,0.003268264625630817,7,2,protected,4428120.017628127
175,min,902,601,715,0.0010688462703522749,7,2,dominant,8113892.541203884
175,min,902,601,717,0.0007599742085838884,7,2,dominant,8113892.541203884
175,min,902,601,706,0.0008813859740299066,7,2,dominant,8113892.541203884
175,min,902,601,707,0.0013510655748785552,7,2,dominant,8113892.541203884
175,min,902,601,722,0.004120112705616514,7,2,dominant,8113892.541203884
175,min,902,601,726,0.002050243500214259,7,2,dominant,8113892.541203884
175,min,902,601,712,0.003268264625630817,7,2,dominant,8113892.541203884
175,min,903,601,722,0.004120112705616514,3,1,only_child,4720751.239980388
175,min,903,601,726,0.002050243500214259,3,1,only_child,4720751.239980388
175,min,903,601,712,0.003268264625630817,3,1,only_child,4720751.239980388
175,min,905,608,718,0.00034163569794847383,1,1,only_child,6189299.534621126
175,min,907,608,720,0.001088936711536942,10,1,only_child,9249764.232243523
175,min,907,608,609,0.001054413362467129,10,1,only_child,9249764.232243523
175,min,907,608,723,0.005587315075307755,10,1,only_child,9249764.232243523
175,min,907,608,705,0.002219698071879329,10,1,only_child,9249764.232243523
175,min,907,608,722,0.004120112705616514,10,1,only_child,9249764.232243523
175,min,907,608,707,0.0013510655748785552,10,1,only_child,9249764.232243523
175,min,907,608,706,0.0008813859740299066,10,1,only_child,9249764.232243523
175,min,907,608,717,0.0007599742085838884,10,1,only_child,9249764.232243523
175,min,907,608,708,0.0004013452910228706,10,1,only_child,9249764.232243523
175,min,907,608,718,0.00034163569794847383,10,1,only_child,9249764.232243523
175,min,908,608,703,9.04960799768793e-05,3,1,only_child,6540095.451359273
175,min,908,608,708,0.0004013452910228706,3,1,only_child,6540095.451359273
175,min,908,608,718,0.00034163569794847383,3,1,only_child,6540095.451359273
175,min,912,601,710,0.004170056298629489,6,2,dominant,7977881.458007641
175,min,912,601,723,0.005587315075307755,6,2,dominant,7977881.458007641
175,min,912,601,705,0.002219698071879329,6,2,dominant,7977881.458007641
175,min,912,601,722,0.004120112705616514,6,2,dominant,7977881.458007641
175,min,912,601,726,0.002050243500214259,6,2,dominant,7977881.458007641
175,min,912,601,712,0.003268264625630817,6,2,dominant,7977881.458007641
175,min,913,601,706,0.0008813859740299066,5,1,only_child,3333273.6205978887
175,min,913,601,707,0.0013510655748785552,5,1,only_child,3333273.6205978887
175,min,913,601,722,0.004120112705616514,5,1,only_child,3333273.6205978887
175,min,913,601,726,0.002050243500214259,5,1,only_child,3333273.6205978887
175,min,913,601,712,0.003268264625630817,5,1,only_child,3333273.6205978887
175,min,914,601,705,0.002219698071879329,4,1,only_child,3264217.8095894605
175,min,914,601,722,0.004120112705616514,4,1,only_child,3264217.8095894605
175,min,914,601,726,0.002050243500214259,4,1,only_child,3264217.8095894605
175,min,914,601,712,0.003268264625630817,4,1,only_child,3264217.8095894605
175,min,952,601,652,0.030712533223626683,3,1,only_child,6419223.441107456
175,min,952,601,375,0.019596391976719998,3,1,only_child,6419223.441107456
175,min,952,601,633,0.018884346153560678,3,1,only_child,6419223.441107456
175,min,1527,1319,1351,2.1621315008823058e-05,1,2,dominant,4021824.0111616314
175,min,1681,1649,1654,0.0003221111744475068,4,2,dominant,5123540.644651398
175,min,1681,1649,1655,0.0006158314305098937,4,2,dominant,5123540.644651398
175,min,1681,1649,1657,0.00023428228467482813,4,2,dominant,5123540.644651398
175,min,1681,1649,1658,0.00042889886926581654,4,2,dominant,5123540.644651398
175,min,1687,1649,1655,0.0006158314305098937,3,1,only_child,9931304.7286444
175,min,1687,1649,1657,0.00023428228467482813,3,1,only_child,9931304.7286444
175,min,1687,1649,1658,0.00042889886926581654,3,1,only_child,9931304.7286444
175,min,1688,1649,1663,0.0008742700849832924,4,1,only_child,9779993.43531802
175,min,1688,1649,1655,0.0006158314305098937,4,1,only_child,9779993.43531802
175,min,1688,1649,1657,0.00023428228467482813,4,1,only_child,9779993.43531802
175,min,1688,1649,1658,0.00042889886926581654,4,1,only_child,9779993.43531802
175,min,1772,1750,1755,2.1741316579945243e-05,3,2,dominant,9706627.168543395
175,min,1772,1750,1756,2.798949853556295e-05,3,2,dominant,9706627.168543395
175,min,1772,1750,1762,4.616500859277514e-05,3,2,dominant,9706627.168543395
175,min,1813,1795,1792,0.0002578836519010966,2,2,dominant,3396872.947685486
175,min,1813,1795,1793,0.0006439455400981264,2,2,dominant,3396872.947685486
175,min,1815,1781,1793,0.0006439455400981264,2,2,dominant,3796623.223610626
175,min,1815,1781,1795,0.0004391761789767496,2,2,dominant,3796623.223610626
175,min,1820,1795,1796,0.00033031062494102325,1,2,dominant,4493057.50199252
175,min,1821,1781,1797,0.0005967111339890717,1,3,dominant,4283201.8396289
175,min,1830,1781,1797,0.0005967111339890717,1,3,protected,1387052.7246010876
175,min,1882,1853,1857,0.0005131626458787597,3,4,protected,1725380.5718388173
175,min,1882,1853,1854,0.00035911930819218225,3,4,protected,1725380.5718388173
175,min,1882,1853,1852,0.00045006974190752526,3,4,protected,1725380.5718388173
175,min,1883,1853,1859,0.00013826129768760347,2,1,only_child,5477460.190776772
175,min,1883,1853,1855,0.0003174796320785033,2,1,only_child,5477460.190776772
175,min,1884,1853,1860,0.0002708950454810465,2,1,only_child,2812642.7228540126
175,min,1884,1853,1852,0.00045006974190752526,2,1,only_child,2812642.7228540126
175,min,1885,1853,1861,2.8461187866795536e-05,2,1,only_child,3459942.5262681595
175,min,1885,1853,1852,0.00045006974190752526,2,1,only_child,3459942.5262681595
