terminal,nearest_dist,best_dist,best_prize
1682,8,10,3128670.666895619
1683,9,22,7084052.213232279
1684,9,22,6966121.2675279975
1685,8,13,3704438.303276266
1686,8,13,5573506.316304622
1687,6,6,9931304.7286444
1688,8,8,9779993.43531802
1707,4,4,1183287.5908860757
1708,4,4,1636058.4994216526
1709,9,9,876268.6789289993
1710,6,6,2558273.2474797536
1711,5,5,3042018.894619116
1712,7,7,1665385.1034551475
1713,7,7,5983552.253753507
1714,11,11,914705.5745740785
1715,4,4,1714505.069156993
1716,8,11,5734339.374792152
1717,12,18,1127224.43514622
1720,12,12,1397137.1832359429
1734,9,9,424010.9490036747
1735,9,9,420855.1327244692
1736,8,8,416182.07264339057
1737,7,7,416332.6406117081
1767,6,6,854243.1119576372
1768,4,4,959568.7147098595
1769,8,8,3762208.889962821
1770,10,20,4713730.663489894
1771,7,7,4012598.9059267063
1772,7,7,9706627.168543395
1773,5,24,615808.2040739956
1774,5,24,617490.1830472266
1775,7,7,1300907.6031573697
1776,7,7,817818.2491838079
1777,5,5,3363799.223847788
1778,5,5,4935164.926115627
1779,3,3,1023155.5245227315
1780,6,6,4351307.355055444
1803,3,3,692021.52824398
1807,3,3,1377105.8855932415
1808,3,3,1346975.7399341906
1809,3,3,1392995.915288285
1811,2,2,733206.2370777903
1812,2,2,727465.2486442953
1813,3,3,3396872.947685486
1814,3,3,628770.0110876693
1815,2,2,3796623.223610626
1816,2,2,691163.1626086575
1817,2,2,1027230.2254730721
1818,2,2,907059.0286680344
1819,2,2,794482.4638204817
1820,2,2,4493057.50199252
1821,2,2,4283201.8396289
1822,2,2,803497.6169309156
1823,2,2,1384852.406552378
1824,3,3,887309.7247778043
1825,3,3,345876.0060239875
1826,1,1,2338627.704562602
1827,1,1,2275086.677526827
1828,1,1,2086507.455453866
1829,1,1,1276539.5278473105
1830,2,2,1387052.7246010876
1833,2,2,424848.96028953453
1879,1,1,2383220.1819801093
1880,1,1,2357179.9075773926
1881,1,1,2245814.1679117302
1882,1,1,2073062.2553063289
1883,3,3,5477460.190776772
1884,2,2,2812642.7228540126
1885,2,3,3520901.1538083083
1886,2,2,8629915.758251993
1887,5,5,3181053.503491521
1888,5,5,759709.9964018788
1889,2,2,3996569.8898939053
1890,3,3,2808152.0066508586
1891,3,3,7505242.556738599
1892,3,3,7628098.057749215
1893,2,2,3372413.0315185464
1894,2,2,6385502.17229874
1895,3,3,3963257.7004387355
1896,3,3,3984082.8119665813
1897,4,4,3831915.274574983
1899,3,3,3912543.955957349
1900,2,4,991681.565591905
1901,2,4,996851.270992633
1902,4,5,2689461.7370782057
1903,4,5,2481023.3972934117
1904,3,3,7469842.030558291
1905,2,2,1095070.2410972728
1906,4,4,3502243.248324103
1907,3,3,5682005.523913312
1908,5,5,2893138.3959061448
1909,4,4,7328149.206943658
1910,6,6,3399902.094343657
1911,6,6,6475516.612703121
1912,4,4,8957855.505056681
1913,4,4,5308973.50641564
1914,3,3,1235120.7815807017
2037,8,8,4168347.319640271
2038,6,6,1645774.1570036244
2039,3,3,2448917.7021592343
2040,5,5,3519802.2293303018
2041,3,3,542672.3090242093
2042,6,6,507076.08319365233
2043,6,6,1215965.5327417164
2044,8,8,4141366.893764163
2045,9,9,3369222.6176577727
2046,9,9,2660500.241828816
2047,9,9,2393188.509662215
2048,9,9,2973156.0538890185
2049,9,9,3213301.963710653
2050,9,9,1156397.011963185
2051,2,2,253316.68366372748
