budget,capacity,root,terminal,category,"(1e-05, 1.78e-05]","(1.78e-05, 3.16e-05]","(3.16e-05, 5.62e-05]","(5.62e-05, 0.0001]","(0.0001, 0.000178]","(0.000178, 0.000316]","(0.000316, 0.000562]","(0.000562, 0.001]","(0.001, 0.00178]","(0.00178, 0.00316]","(0.00316, 0.00562]","(0.00562, 0.01]","(0.01, 0.0178]","(0.0178, 0.0316]",Total
125,min,1853,1896,dominant,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
125,min,1853,1897,only_child,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
125,min,1857,1886,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
125,min,1857,1889,only_child,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
125,min,1858,1891,protected,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
125,min,1858,1892,dominant,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
125,min,1858,1893,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
150,max,1,131,protected,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,max,1,132,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,max,1,135,protected,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
150,max,1,136,dominant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
150,max,1,144,only_child,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4
150,max,1,160,dominant,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
150,max,1,171,dominant,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
150,max,1,183,dominant,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3
150,max,301,464,dominant,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
150,max,301,488,dominant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
150,max,301,952,only_child,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
150,max,302,480,only_child,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
150,max,601,840,dominant,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4
150,max,601,842,only_child,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
150,max,601,852,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
150,max,601,853,protected,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
150,max,602,1912,only_child,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
150,max,608,901,protected,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
150,max,608,902,dominant,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
150,max,608,905,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
150,max,608,907,only_child,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
150,max,608,908,only_child,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3
